Solver,C,Penalty,Iteration,AccuracyNone,MacroAvgPrecisionNone,fprNone,tprNone,AccuracyBalanced,MacroAvgPrecisionBalanced,fprBalanced,tprBalanced,DiffMacroVsBalPrecision,Classes
liblinear,100.0,l1,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04876413156574233,['No' 'Yes']
liblinear,100.0,l1,0,0.8748321933133031,0.8291490054247981,[0.        0.0591311 1.       ],[0.         0.64288462 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.044175782937621255,['No' 'Yes']
liblinear,100.0,l1,1,0.87489611967014,0.8303142681338536,[0.         0.05754332 1.        ],[0.         0.63759615 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.044860239552397596,['No' 'Yes']
liblinear,100.0,l1,2,0.8749387372413646,0.8294184979861087,[0.         0.05894109 1.        ],[0.         0.64272666 1.        ],0.8495173560058812,0.7844429100945123,[0.         0.15147284 1.        ],[0.        0.8529949 1.       ],0.04497558789159639,['No' 'Yes']
saga,100.0,l1,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
saga,100.0,l1,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
saga,100.0,l1,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
saga,100.0,l1,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.04415013126792422,['No' 'Yes']
saga,100.0,l1,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
saga,100.0,l1,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
newton-cg,1.0,l2,0,0.8766602741671994,0.8322649193234324,[0.         0.05637009 1.        ],[0.         0.63928341 1.        ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.0459448766657069,['No' 'Yes']
newton-cg,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.8529725122522906,0.7880373169273843,[0.         0.14806877 1.        ],[0.        0.8566383 1.       ],0.04490887716121017,['No' 'Yes']
newton-cg,1.0,l2,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04872120927478041,['No' 'Yes']
newton-cg,1.0,l2,0,0.8748535020989154,0.8292113830790668,[0.         0.05907635 1.        ],[0.         0.64278846 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.04421632263219344,['No' 'Yes']
newton-cg,1.0,l2,1,0.8748535020989154,0.8302439236642303,[0.        0.0575707 1.       ],[0.     0.6375 1.    ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.04478989508277431,['No' 'Yes']
newton-cg,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.044927986701807754,['No' 'Yes']
lbfgs,1.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.04598743186096077,['No' 'Yes']
lbfgs,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.85300802613822,0.788074702928369,[0.         0.14802317 1.        ],[0.        0.8566383 1.       ],0.044871491160225485,['No' 'Yes']
